source_id,same_content_as,sha256,review_status
ADOC-013,MED-011,da0916c3c6c7549118c989f03d8870f213428cd97e9fd0420d9aedc57677c616,confirmed_local_snapshot_mismatch
ADOC-014,MED-011,da0916c3c6c7549118c989f03d8870f213428cd97e9fd0420d9aedc57677c616,confirmed_local_snapshot_mismatch
M3-01,M1-11,a859cc83d11508435744f1ce4fb6f39396083c22e60bea3f872887eb2dd1863f,confirmed_local_snapshot_mismatch
M3-02,M1-11,a859cc83d11508435744f1ce4fb6f39396083c22e60bea3f872887eb2dd1863f,confirmed_local_snapshot_mismatch
